id,brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
id,brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
VN-7126,Vietnam Airlines,3.916.000 VND,19:50,10 thg 6,21:10,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 18 kg,Hành lý 32 kg,07-06-2026
VN-7042,Vietnam Airlines,3.916.000 VND,22:55,10 thg 6,00:15,11 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 18 kg,Hành lý 32 kg,07-06-2026
VN-7112,Vietnam Airlines,3.916.000 VND,23:35,10 thg 6,00:55,11 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 18 kg,Hành lý 32 kg,07-06-2026
VN-146,Vietnam Airlines,3.916.000 VND,19:35,10 thg 6,21:00,10 thg 6,1h 25m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 18 kg,Hành lý 32 kg,07-06-2026
VN-126,Vietnam Airlines,4.294.000 VND,11:00,10 thg 6,12:20,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 18 kg,Hành lý 32 kg,07-06-2026
VN-132,Vietnam Airlines,4.294.000 VND,13:25,10 thg 6,14:45,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 18 kg,Hành lý 32 kg,07-06-2026
VN-7116,Vietnam Airlines,4.294.000 VND,13:45,10 thg 6,15:05,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 18 kg,Hành lý 32 kg,07-06-2026
VN-134,Vietnam Airlines,4.294.000 VND,15:30,10 thg 6,16:50,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 18 kg,Hành lý 32 kg,07-06-2026
VN-6036,Vietnam Airlines,4.294.000 VND,11:45,10 thg 6,13:15,10 thg 6,1h 30m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 18 kg,Hành lý 32 kg,07-06-2026
VJ-620,VietJet Air,1.224.082 VND,05:00,10 thg 6,06:20,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
VJ-652,VietJet Air,1.224.082 VND,21:10,10 thg 6,22:30,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
VJ-650,VietJet Air,1.224.082 VND,21:50,10 thg 6,23:10,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
VN-148,Vietnam Airlines,1.336.000 VND,21:00,10 thg 6,22:15,10 thg 6,1h 15m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,08-06-2026
VN-7126,Vietnam Airlines,1.336.000 VND,19:50,10 thg 6,21:10,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,08-06-2026
VN-7042,Vietnam Airlines,1.336.000 VND,22:55,10 thg 6,00:15,11 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,08-06-2026
VN-7112,Vietnam Airlines,1.336.000 VND,23:35,10 thg 6,00:55,11 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,08-06-2026
VN-7114,Vietnam Airlines,1.340.000 VND,19:50,10 thg 6,21:10,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,08-06-2026
VJ-622,VietJet Air,1.361.788 VND,05:20,10 thg 6,06:40,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
VJ-648,VietJet Air,1.361.788 VND,20:00,10 thg 6,21:20,10 thg 6,1h 20m,TP HCM (SGN),Đà Nẵng (DAD),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,08-06-2026
