id,brand,price,take_place,destination,hand_luggage,checked_baggage,price_raw,start_hour,end_hour,trip_mins,days_left,is_holiday,num_flights_same_route_day,price_lag1,price_lag3,price_roll3_mean,price_roll3_std
VJ-339,VietJet Air,1759302,TP HCM (SGN),Phú Quốc (PQC),10,30,1.759.302 VND,Morning,Morning,60,3,0,8,1117309.0,1759302.0,1498620.9375,0.0
VJ-339,VietJet Air,1113232,TP HCM (SGN),Phú Quốc (PQC),7,7,1.113.232 VND,Morning,Morning,60,2,0,8,1759302.0,1113232.0,1306584.78125,271580.1366347488
VJ-339,VietJet Air,1152067,TP HCM (SGN),Phú Quốc (PQC),7,7,1.152.067 VND,Morning,Morning,60,1,0,7,1113232.0,1117309.0,1264098.8541666667,205652.73474394978
VJ-600,VietJet Air,890845,TP HCM (SGN),Nha Trang (CXR),7,0,890.845 VND,Afternoon,Afternoon,60,3,0,2,890845.0,890845.0,890845.0,0.0
VJ-600,VietJet Air,1113232,TP HCM (SGN),Nha Trang (CXR),7,7,1.113.232 VND,Afternoon,Afternoon,60,2,0,2,890845.0,1113232.0,945560.75,77379.75572541567
VJ-600,VietJet Air,1152000,TP HCM (SGN),Nha Trang (CXR),7,7,1.152.000 VND,Afternoon,Afternoon,60,1,0,2,1113232.0,1152000.0,975921.3333333334,75888.78941637778
VJ-620,VietJet Air,1202000,TP HCM (SGN),Đà Nẵng (DAD),7,0,1.202.000 VND,Morning,Morning,80,3,0,15,1202000.0,1202000.0,2084918.75,0.0
VJ-620,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Morning,Morning,80,3,0,15,1202000.0,2705274.0,2084918.75,0.0
VJ-620,VietJet Air,1224082,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.224.082 VND,Morning,Morning,80,2,0,15,2705274.0,1224082.0,1804905.975,395997.86404272605
VJ-622,VietJet Air,1354570,TP HCM (SGN),Đà Nẵng (DAD),7,20,1.354.570 VND,Morning,Morning,80,3,0,15,1354570.0,1354570.0,2084918.75,0.0
VJ-622,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Morning,Morning,80,3,0,15,1354570.0,2705274.0,2084918.75,0.0
VJ-622,VietJet Air,1361788,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.361.788 VND,Morning,Morning,80,2,0,15,2705274.0,1361788.0,1804905.975,395997.86404272605
VJ-622,VietJet Air,1393387,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.393.387 VND,Morning,Morning,80,1,0,14,1361788.0,1354570.0,1715868.9833333334,319671.5686737732
VJ-628,VietJet Air,1497558,TP HCM (SGN),Đà Nẵng (DAD),7,20,1.497.558 VND,Morning,Morning,80,3,0,15,1497558.0,1497558.0,2084918.75,0.0
VJ-628,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Morning,Morning,80,3,0,15,1497558.0,2705274.0,2084918.75,0.0
VJ-628,VietJet Air,1530036,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.530.036 VND,Morning,Morning,80,2,0,15,2705274.0,1530036.0,1804905.975,395997.86404272605
VJ-628,VietJet Air,1564893,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.564.893 VND,Morning,Morning,80,1,0,14,1530036.0,1497558.0,1715868.9833333334,319671.5686737732
VJ-630,VietJet Air,1596833,TP HCM (SGN),Đà Nẵng (DAD),7,20,1.596.833 VND,Morning,Afternoon,80,3,0,15,1596833.0,1596833.0,2084918.75,0.0
VJ-630,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Morning,Afternoon,80,3,0,15,1596833.0,2705274.0,2084918.75,0.0
VJ-630,VietJet Air,1644835,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.644.835 VND,Morning,Afternoon,80,2,0,15,2705274.0,1644835.0,1804905.975,395997.86404272605
VJ-630,VietJet Air,1678177,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.678.177 VND,Morning,Afternoon,80,1,0,14,1644835.0,1596833.0,1715868.9833333334,319671.5686737732
VJ-632,VietJet Air,1596833,TP HCM (SGN),Đà Nẵng (DAD),7,20,1.596.833 VND,Morning,Morning,80,3,0,15,1596833.0,1596833.0,2084918.75,0.0
VJ-632,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Morning,Morning,80,3,0,15,1596833.0,2705274.0,2084918.75,0.0
VJ-632,VietJet Air,1644835,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.644.835 VND,Morning,Morning,80,2,0,15,2705274.0,1644835.0,1804905.975,395997.86404272605
VJ-632,VietJet Air,1678177,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.678.177 VND,Morning,Morning,80,1,0,14,1644835.0,1596833.0,1715868.9833333334,319671.5686737732
VJ-634,VietJet Air,2152723,TP HCM (SGN),Đà Nẵng (DAD),7,20,2.152.723 VND,Afternoon,Afternoon,80,3,0,15,2152723.0,2152723.0,2084918.75,0.0
VJ-634,VietJet Air,2268066,TP HCM (SGN),Đà Nẵng (DAD),7,7,2.268.066 VND,Afternoon,Afternoon,80,2,0,15,2152723.0,2268066.0,1804905.975,395997.86404272605
VJ-634,VietJet Air,2326000,TP HCM (SGN),Đà Nẵng (DAD),7,7,2.326.000 VND,Afternoon,Afternoon,80,1,0,14,2268066.0,2326000.0,1715868.9833333334,319671.5686737732
VJ-636,VietJet Air,1497558,TP HCM (SGN),Đà Nẵng (DAD),7,20,1.497.558 VND,Afternoon,Afternoon,80,3,0,15,1497558.0,1497558.0,2084918.75,0.0
VJ-636,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Afternoon,Afternoon,80,3,0,15,1497558.0,2705274.0,2084918.75,0.0
VJ-636,VietJet Air,1530036,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.530.036 VND,Afternoon,Afternoon,80,2,0,15,2705274.0,1530036.0,1804905.975,395997.86404272605
VJ-636,VietJet Air,1576484,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.576.484 VND,Afternoon,Afternoon,80,1,0,14,1530036.0,1497558.0,1715868.9833333334,319671.5686737732
VJ-638,VietJet Air,1497558,TP HCM (SGN),Đà Nẵng (DAD),7,20,1.497.558 VND,Afternoon,Afternoon,80,3,0,15,1497558.0,1497558.0,2084918.75,0.0
VJ-638,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Afternoon,Afternoon,80,3,0,15,1497558.0,2705274.0,2084918.75,0.0
VJ-638,VietJet Air,1530036,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.530.036 VND,Afternoon,Afternoon,80,2,0,15,2705274.0,1530036.0,1804905.975,395997.86404272605
VJ-638,VietJet Air,1576484,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.576.484 VND,Afternoon,Afternoon,80,1,0,14,1530036.0,1497558.0,1715868.9833333334,319671.5686737732
VJ-640,VietJet Air,1497558,TP HCM (SGN),Đà Nẵng (DAD),7,20,1.497.558 VND,Afternoon,Evening,80,3,0,15,1497558.0,1497558.0,2084918.75,0.0
VJ-640,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Afternoon,Evening,80,3,0,15,1497558.0,2705274.0,2084918.75,0.0
VJ-640,VietJet Air,1608763,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.608.763 VND,Afternoon,Evening,80,2,0,15,2705274.0,1608763.0,1804905.975,395997.86404272605
VJ-640,VietJet Air,1576484,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.576.484 VND,Afternoon,Evening,80,1,0,14,1608763.0,1497558.0,1715868.9833333334,319671.5686737732
VJ-642,VietJet Air,1497558,TP HCM (SGN),Đà Nẵng (DAD),7,20,1.497.558 VND,Evening,Evening,80,3,0,15,1497558.0,1497558.0,2084918.75,0.0
VJ-642,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Evening,Evening,80,3,0,15,1497558.0,2705274.0,2084918.75,0.0
VJ-642,VietJet Air,1530036,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.530.036 VND,Evening,Evening,80,2,0,15,2705274.0,1530036.0,1804905.975,395997.86404272605
VJ-642,VietJet Air,1576484,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.576.484 VND,Evening,Evening,80,1,0,14,1530036.0,1497558.0,1715868.9833333334,319671.5686737732
VJ-644,VietJet Air,1354570,TP HCM (SGN),Đà Nẵng (DAD),7,20,1.354.570 VND,Evening,Evening,80,3,0,15,1354570.0,1354570.0,2084918.75,0.0
VJ-644,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Evening,Evening,80,3,0,15,1354570.0,2705274.0,2084918.75,0.0
VJ-644,VietJet Air,1829145,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.829.145 VND,Evening,Evening,80,2,0,15,2705274.0,1829145.0,1804905.975,395997.86404272605
VJ-644,VietJet Air,1258764,TP HCM (SGN),Đà Nẵng (DAD),7,7,1.258.764 VND,Evening,Evening,80,1,0,14,1829145.0,1354570.0,1715868.9833333334,319671.5686737732
VJ-646,VietJet Air,1202000,TP HCM (SGN),Đà Nẵng (DAD),7,0,1.202.000 VND,Evening,LateNight,80,3,0,15,1202000.0,1202000.0,2084918.75,0.0
VJ-646,VietJet Air,2705274,TP HCM (SGN),Đà Nẵng (DAD),10,30,2.705.274 VND,Evening,LateNight,80,3,0,15,1202000.0,2705274.0,2084918.75,0.0
